1,0.00021245
2,0.00019718
3,0.0002206
4,0.00025439
5,0.00033952
6,0.00054304
7,0.00087593
8,0.0026
9,0.0405
10,0.0815
11,0.1081
12,0.1327
13,0.1424
14,0.1528
15,0.1674
16,0.1773
17,0.1901
18,0.2038
19,0.2108
20,0.2312
21,0.2428
22,0.2592
23,0.2852
24,0.3
25,0.3224
26,0.362
27,0.3741
28,0.4094
29,0.423
30,0.4553
31,0.4815
32,0.4906
33,0.5298
34,0.5293
35,0.5541
36,0.5803
37,0.6091
38,0.6173
39,0.6304
40,0.6646
41,0.6747
42,0.696
43,0.7057
44,0.7212
45,0.7302
46,0.7483
47,0.7555
48,0.7697
49,0.7774
50,0.7929
51,0.7999
52,0.816
53,0.8219
54,0.8389
55,0.8553
56,0.8651
57,0.8651
58,0.8636
59,0.8751
60,0.8823
61,0.8925
62,0.8978
63,0.9029
64,0.9055
65,0.9128
66,0.9227
67,0.9202
68,0.9255
69,0.9283
70,0.9405
71,0.943
72,0.9441
73,0.9389
74,0.9364
75,0.9429
76,0.9537
77,0.955
78,0.9511
79,0.9452
80,0.9489
81,0.951
82,0.9519
83,0.9537
84,0.9592
85,0.961
86,0.9599
87,0.9647
88,0.9624
89,0.9631
90,0.9631
91,0.9609
92,0.9571
93,0.9611
94,0.9617
95,0.9623
