$ python cudf-merge.py         --server         --server-file /scratch/jx00/cw2590/benchmarks-ucx-py/job-out/.server-59538441.gadi-pbs.json         --n-devs-on-net 16         --iter 100         -c 1_000_000
cuDF merge benchmark
--------------------------------------------------------------------------------------------------------------
Number of devices         | 16
Rows per chunk            | 1000000
Total data processed      | 47.68 GiB
Data processed per iter   | 488.28 MiB
==============================================================================================================
Wall-clock                | 5.14 s
Bandwidth                 | 1.06 GiB/s
Throughput                | 9.28 GiB/s
==============================================================================================================
Iteration                 | Wall-clock                | Bandwidth                 | Throughput
78                        | 48.56 ms                  | 1.10 GiB/s                | 9.82 GiB/s
79                        | 52.15 ms                  | 1.04 GiB/s                | 9.14 GiB/s
80                        | 47.97 ms                  | 1.10 GiB/s                | 9.94 GiB/s
81                        | 48.34 ms                  | 1.11 GiB/s                | 9.86 GiB/s
82                        | 50.85 ms                  | 1.06 GiB/s                | 9.38 GiB/s
83                        | 54.95 ms                  | 0.98 GiB/s                | 8.68 GiB/s
84                        | 50.44 ms                  | 1.07 GiB/s                | 9.45 GiB/s
85                        | 47.88 ms                  | 1.09 GiB/s                | 9.96 GiB/s
86                        | 49.59 ms                  | 1.10 GiB/s                | 9.62 GiB/s
87                        | 47.83 ms                  | 1.12 GiB/s                | 9.97 GiB/s
88                        | 49.56 ms                  | 1.07 GiB/s                | 9.62 GiB/s
89                        | 49.90 ms                  | 1.08 GiB/s                | 9.56 GiB/s
90                        | 49.35 ms                  | 1.09 GiB/s                | 9.66 GiB/s
91                        | 60.36 ms                  | 916.63 MiB/s              | 7.90 GiB/s
92                        | 48.69 ms                  | 1.06 GiB/s                | 9.79 GiB/s
93                        | 49.30 ms                  | 1.07 GiB/s                | 9.67 GiB/s
94                        | 53.65 ms                  | 1.00 GiB/s                | 8.89 GiB/s
95                        | 50.38 ms                  | 1.07 GiB/s                | 9.46 GiB/s
96                        | 49.01 ms                  | 1.07 GiB/s                | 9.73 GiB/s
97                        | 49.16 ms                  | 1.08 GiB/s                | 9.70 GiB/s
98                        | 47.69 ms                  | 1.12 GiB/s                | 10.00 GiB/s
99                        | 48.01 ms                  | 1.12 GiB/s                | 9.93 GiB/s
